policy,event,op,req_bytes,utilization,cur_inuse_bytes,overhead_bytes
MIXED,207,malloc,27824,0.7769946456,52143228,51264
MIXED,208,malloc,10657,0.8295921087,55672984,54464
MIXED,209,malloc,2935,0.8820947409,59196376,57664
MIXED,210,malloc,51428,0.9346700907,62724648,60864
MIXED,211,malloc,7254,0.9818767905,65892636,64064
MIXED,212,malloc,42895,0.9990011454,67041832,65472
MIXED,213,malloc,20757,0.9990172982,67042916,65504
MIXED,214,malloc,39292,0.9990172982,67042916,65504
MIXED,215,malloc,63127,0.9990224242,67043260,65536
MIXED,216,malloc,45650,0.9990224242,67043260,65536
MIXED,217,malloc,28181,0.9990224242,67043260,65536
MIXED,218,malloc,61634,0.9990224242,67043260,65536
MIXED,219,malloc,22563,0.9990224242,67043260,65536
MIXED,220,malloc,27209,0.9990224242,67043260,65536
MIXED,221,malloc,3501,0.9990224242,67043260,65536
MIXED,222,malloc,57498,0.9990224242,67043260,65536
MIXED,223,malloc,43606,0.9990224242,67043260,65536
MIXED,224,malloc,48854,0.9990224242,67043260,65536
MIXED,225,malloc,48786,0.9990224242,67043260,65536
MIXED,226,malloc,20499,0.9990224242,67043260,65536
MIXED,227,malloc,34549,0.9990224242,67043260,65536
MIXED,228,malloc,2635,0.9990224242,67043260,65536
MIXED,229,malloc,14314,0.9990224242,67043260,65536
MIXED,230,malloc,43061,0.9990224242,67043260,65536
MIXED,231,free,0,0.9988318086,67030468,65536
MIXED,232,free,0,0.9737334251,65346144,65536
MIXED,233,free,0,0.9500484467,63756672,65536
MIXED,234,free,0,0.9258153439,62130416,65536
MIXED,235,free,0,0.9020506144,60535592,65536
MIXED,236,free,0,0.8795756102,59027320,65536
MIXED,237,free,0,0.8537543416,57294484,65536
MIXED,238,free,0,0.8315553665,55804736,65536
MIXED,239,free,0,0.8073611856,54181092,65536
MIXED,240,free,0,0.7786196470,52252280,65536
MIXED,241,free,0,0.7577564120,50852172,65536
MIXED,242,free,0,0.7307112813,49037204,65536
MIXED,243,free,0,0.7064193487,47407000,65536
MIXED,244,free,0,0.6789494753,45563528,65536
MIXED,245,free,0,0.6537032723,43869284,65536
MIXED,246,free,0,0.6287582517,42195252,65536
MIXED,247,free,0,0.6030115485,40467420,65536
MIXED,248,free,0,0.5761482120,38664652,65536
MIXED,249,free,0,0.5497445464,36892732,65536
MIXED,250,free,0,0.5251349211,35241208,65536
MIXED,251,free,0,0.5003067255,33575016,65536
